學院名稱,課程類別,課程編號,課程名稱,課程大綱,課程講師,課程時數(分鐘),課程狀態,授權日(起),授權日(訖),測驗方式,課程難易度,年度人氣指數,累積人氣指數,選課人數,完成人數
資訊科技學院,一、數位生活應用系列,10000515,電腦保健與無線網路建置,"每個人在使用電腦時，總會遇到一些問題與狀況，本課程教您電腦系統的簡單維護、防毒，以及備份等知識。另外，還介紹家庭如何使用無線網路的主題，包含家庭無線網路的基本概念，如何建置無線網路、公眾無線網路資源等。
",初立德,60,上架,2008/6/23,2030/12/31,課後,初級,705,16759,647,247
資訊科技學院,一、數位生活應用系列,10000519,電腦軟硬體採購與DIY,"第一堂：零組件分析及選購建議
第二堂：主機組裝
第三堂：連接週邊(外接)設備
第四堂：開機測試及故障檢修",初永承,60,上架,2008/6/23,2030/12/31,無,初級,453,15258,403,166
資訊科技學院,一、數位生活應用系列,10000537,數位視訊製作基礎,"數位攝錄影機已經在我們生活隨處可見，多數人面對一大堆數位視訊的規格、攝錄影機的種類仍然感到困惑。本課程將說明您不可不知的數位視訊原理、專業術語及影片專案製作流程，並介紹有哪些腳本繪製軟體、視訊剪輯軟體可以選購、及如何選購一台適合自己的攝錄影機，讓您花最少的時間奠定數位視訊製作的基礎。
",陳文暉.張齡月,60,上架,2008/6/23,2030/12/31,課後,初級,360,9956,369,148
資訊科技學院,一、數位生活應用系列,10000755,Google的協作平台應用教學,"一、如何用及建立Google的協作平台
二、如何在Google協作平台編輯網頁
三、如何在Google協作平台新增頁面
四、如何在Google協作平台中切換頁面
五、如何在Google協作平台中連結到不同頁面
六、Google協作平台頁面某一文字內容如何連結到不同的網頁
七、Google協作平台如何在頁面中插入圖片",中美通科技 楊乾中董事長,30,上架,2010/1/1,2030/12/31,無,初級,294,15858,286,86
資訊科技學院,一、數位生活應用系列,10000756,Google部落格應用教學,"一、如何在Google提供的部落格中設定接受email的方式來產生新文章
二、如何用email的方式產生Google所提供部落格的新文章
三、如何邀請他人來共同發表部落格的文章
四、如何受邀在他人的部落格發表文章
五、如何在Google提供的部落格中出現投影片
六、如何在Google提供的部落格中,出現Youtube影片區的功能
七、如何在部落格中出現標籤區，讓使用者根據標籤找文章
八、如何在Google部落格中加入新聞影片小工具
九、如何在Google部落格中加入AdSense小工具
十、如何在Google部落格中加入清單小工具
十一、Google提供的部落格如何加入網誌清單小工具
十二、Google提供的部落格如何加入追蹤者小工具
十三、Google部落格上的追蹤者小工具，訪客如何使用
十四、如何將新年倒數計時器加入Google部落格
十五、如何得知用戶登入Google提供的部落格要花多久時間
十六、如何縮短訪客剛進入Google部落格的時間
",中美通科技 楊乾中董事長,60,上架,2010/1/1,2030/12/31,無,初級,258,10477,233,66
資訊科技學院,一、數位生活應用系列,10000757,Google的網站分析流量實務應用教學,"  一、如何申請Google analytics新帳號
二、Google Analytics 分析碼,如何快速放入部落格(以HTML-JavaScript 小工具為例)
三、如何登入Google analytics來看流量統計
四、Google analytics如何設定所要分析的一段期間（某段日期區間）
五、Google analytics如何得知某段期間訪客用那一種搜尋引擎找到您的部落格
六、Google analytics如何得知某段期間訪客用何關鍵字找到您的部落格
七、Google analytics如何得知某段期間的訪客，都是透過哪些網站的推介而來到您的部落格或網站
八、Google analytics如何得知某段期間內每天你部落格絕對特定訪客有多少人
九、Google analytics如何得知某段期間你部落格有哪些吸引訪客進入的主題(文章)
十、Google analytics如何得知某段期間,訪客用何關鍵字找到您的某篇文章
十一、Google analytics如何得知某段期間,某篇文章的直接流量",中美通科技 楊乾中董事長,45,上架,2010/1/1,2030/12/31,無,初級,278,67214,275,88
資訊科技學院,一、數位生活應用系列,10000865,PaintShopPro-數位相片編修技巧(上),"第一堂：調整影像
第二堂：修飾影像 ",資訊科技學院教師,60,上架,2012/8/27,2030/12/31,課後,中級,343,9976,322,106
資訊科技學院,一、數位生活應用系列,10000866,PaintShopPro-數位相片編修技巧(下),第一堂：影像合成,資訊科技學院教師,60,上架,2012/8/27,2030/12/31,課後,中級,105,4500,124,69
資訊科技學院,一、數位生活應用系列,10000944,酷炫電腦密技1-常用軟體篇,"1. 鍵盤常用的視窗鍵快捷鍵(Hot Key)
2. 公司團隊工作如何為檔案命名
3. 資料夾如何命名讓其能自動排序
4. 如何將Line Wechat E-mail 的內容有條理的儲存
5. 如何找電腦內的檔案
6. 某段內容如何得知存在何檔案內
7. 如何找網際網路內的檔案
8. 某段內容如何在網際網路內尋找
9. 如何下載及安裝FIREFOX瀏覽器
10. 如何下載及安裝CHROME瀏覽器
11. 如何多視窗管理檔案(Q-Dir)
12. Word內如何全文替代某內容(例如符號統一為全形)
13. word 用表格製作的通訊錄如何轉到Excel
14. 播放簡報檔的技巧
15. Access資料庫內的資料如何轉到Excel
16. Excel內如何搜尋某內容
17. Excel內如何管理文章又能搜尋其內容
18. 如何得知當月的壽星辦慶生
19. 如何下載及安裝360安全衛士
20. 電腦如何關閉自動啟動的程式
21. 如何清理電腦中的Cookie與垃圾及上網痕跡
22. 如何硬碟重組以加快電腦存取速度
",楊乾中,80,上架,2014/11/27,2030/12/31,無,初級,395,261169,357,181
資訊科技學院,一、數位生活應用系列,10000945,酷炫電腦密技2-Google相關軟體篇,"1. 如何申請免費的Gmail
2. 如何使用Gmail
3. 如何用Google的blogger 建立公司的部落格
4. 如何建立Blogger 內文章
5. Blogger如何找人共筆
6. blogger如何設定用e-mail 將內容上架
7. blogger如何設定文章標籤
8. blogger 如何得知流量狀況
9. blogger 如何變換版面
10. blogger 如何新增小工具
11. facebook或部落格分享的影片如何在Youtube 找到
12. 如何下載youtube 上的影片
13. Google Chrome如何管理書籤(我的最愛)
14. Google Chrome如何找書籤(我的最愛)
15. Google Chrome 如何匯入書籤
16. Google Chrome 如何同步書籤
17. Google Chrome如何新增及刪除使用者
18. 關心的議題如何主動e-mail通知您
19. 如何找Google行事曆內的內容
20. 如何使用Google 的雲端硬碟
21. 如何分享Google 雲端硬碟的資料
22. Google地圖如何規劃路徑",楊乾中,60,上架,2014/11/27,2030/12/31,無,初級,131,6760,131,69
資訊科技學院,一、數位生活應用系列,10000946,酷炫電腦密技3-手機篇,"1. 出國如何讓手機不要產生數據漫遊費用
2. 如何下載及安裝360手機助手
3. 手機內的照片如何複製到電腦
4. 手機或平板如何下載及安裝line
5. 如何設定自己Line的ID
6. Line如何用他人ID加入好友並文字與圖片對話
7. Line 如何變更好友姓名方便辨識
8. Line 如何關閉鈴聲提醒
9. Line 如何建立臨時群組
10. Line如何將臨時群組內的成員加為好友並變更名稱
11. Line 如何建立永久群組
12. Line如何將固定群組內的成員加為好友並變更名稱
13. Line 如何退出群組
14. Line 如何將內容存成記事本
15. Line 如何打電話
16. Line 如何留言
17. Line如何傳所在位址
18. Line 如何刪除群組成員
19. Line 如何封鎖朋友
20. Line 如何用搖一搖加入好友
21. Line 如何用行動條碼加入好友
22. 如何下載及安裝Line PC 版
23. Line 如何在電腦也能用",楊乾中,94,上架,2014/11/27,2030/12/31,無,初級,202,7510,206,96
資訊科技學院,一、數位生活應用系列,10001216,響應式跨平台網頁設計之一：網站規劃與HTML5網站版型設計,"．第一堂：網站規劃
．第二堂：網站視覺
．第三堂：HTML5網站版型設計",李仲傑,156,上架,2018/3/1,2019/2/28,無,初級,453,2453,452,161
資訊科技學院,一、數位生活應用系列,10001217,響應式跨平台網頁設計之二：CSS3網頁效果與響應式購物網站製作,"．第一堂：CSS3介紹
．第二堂：CSS3網頁效果設定
．第三堂：CSS3網頁動畫與網頁字體使用
．第四堂：Dreamweaver響應式購物網站製作",李仲傑,162,上架,2018/3/1,2019/2/28,無,初級,223,1489,234,99
資訊科技學院,一、數位生活應用系列,10001218,響應式跨平台網頁設計之三：Muse網站實作—企業網站,"．第一堂：Muse介紹與專案建立
．第二堂：Muse基本操作(上)
．第三堂：Muse基本操作(下)
．第四堂：Muse企業網站實作",李仲傑,123,上架,2018/3/1,2019/2/28,無,初級,108,1098,144,75
資訊科技學院,一、數位生活應用系列,10001219,響應式跨平台網頁設計之四：jQuery與Edge Animate應用,"．第一堂：jQuery介紹與使用
．第二堂：jQuery外掛特效製作
．第三堂：Edge Animate網頁動畫製作
．第四堂：jQuery Mobile介紹與使用
．第五堂：網站管理與最佳化設定",李仲傑,157,上架,2018/3/1,2019/2/28,無,初級,167,1253,183,70
資訊科技學院,一、數位生活應用系列,10001222,數位時代行銷新典範,"如果您是經營決策管理者：
1. 能夠將企業使命、企業目標轉化為可執行的網站數據分析工作目標
2. 對數據分析的結果，能夠有效判別，並採取合適的對策
3. 充分理解網站數據分析工具提供數據的範圍、功用與限制
4. 能夠根據企業現況與實際成效，提供建立數據分析平台必要的資源
如果您是網站行銷執行者：
1. 能夠有效分辨問題，並定義問題核心的數據需求
2. 能夠操作GA，並能透過對GA的理解，快速掌握其它分析工具的關鍵功能
3. 能夠有效統合相關的工具，提供解決問題所需的數據與建議對策",張秉祖,60,上架,2018/7/1,2019/7/1,無,初級,418,2994,545,371
資訊科技學院,一、數位生活應用系列,10001223,建立以 GA 為藍本的網站分析平台,"如果您是經營決策管理者：
1. 能夠將企業使命、企業目標轉化為可執行的網站數據分析工作目標
2. 對數據分析的結果，能夠有效判別，並採取合適的對策
3. 充分理解網站數據分析工具提供數據的範圍、功用與限制
4. 能夠根據企業現況與實際成效，提供建立數據分析平台必要的資源
如果您是網站行銷執行者：
1. 能夠有效分辨問題，並定義問題核心的數據需求
2. 能夠操作GA，並能透過對GA的理解，快速掌握其它分析工具的關鍵功能
3. 能夠有效統合相關的工具，提供解決問題所需的數據與建議對策",張秉祖,60,上架,2018/7/1,2019/7/1,無,初級,193,2051,248,145
資訊科技學院,一、數位生活應用系列,10001224,衡量流量與判斷流量的價值,"如果您是經營決策管理者：
1. 能夠將企業使命、企業目標轉化為可執行的網站數據分析工作目標
2. 對數據分析的結果，能夠有效判別，並採取合適的對策
3. 充分理解網站數據分析工具提供數據的範圍、功用與限制
4. 能夠根據企業現況與實際成效，提供建立數據分析平台必要的資源
如果您是網站行銷執行者：
1. 能夠有效分辨問題，並定義問題核心的數據需求
2. 能夠操作GA，並能透過對GA的理解，快速掌握其它分析工具的關鍵功能
3. 能夠有效統合相關的工具，提供解決問題所需的數據與建議對策",張秉祖,60,上架,2018/7/1,2019/7/1,無,初級,157,1652,200,118
資訊科技學院,一、數位生活應用系列,10001225,深入解析訪客行為,"如果您是經營決策管理者：
1. 能夠將企業使命、企業目標轉化為可執行的網站數據分析工作目標
2. 對數據分析的結果，能夠有效判別，並採取合適的對策
3. 充分理解網站數據分析工具提供數據的範圍、功用與限制
4. 能夠根據企業現況與實際成效，提供建立數據分析平台必要的資源
如果您是網站行銷執行者：
1. 能夠有效分辨問題，並定義問題核心的數據需求
2. 能夠操作GA，並能透過對GA的理解，快速掌握其它分析工具的關鍵功能
3. 能夠有效統合相關的工具，提供解決問題所需的數據與建議對策",張秉祖,60,上架,2018/7/1,2019/7/1,無,初級,258,1602,320,188
資訊科技學院,一、數位生活應用系列,10001226,數據清理與細分分析,"如果您是經營決策管理者：
1. 能夠將企業使命、企業目標轉化為可執行的網站數據分析工作目標
2. 對數據分析的結果，能夠有效判別，並採取合適的對策
3. 充分理解網站數據分析工具提供數據的範圍、功用與限制
4. 能夠根據企業現況與實際成效，提供建立數據分析平台必要的資源
如果您是網站行銷執行者：
1. 能夠有效分辨問題，並定義問題核心的數據需求
2. 能夠操作GA，並能透過對GA的理解，快速掌握其它分析工具的關鍵功能
3. 能夠有效統合相關的工具，提供解決問題所需的數據與建議對策",張秉祖,60,上架,2018/7/1,2019/7/1,無,初級,190,1463,233,122
資訊科技學院,一、數位生活應用系列,10001227,GA 多管道程序 (MCF) 報表分析,"如果您是經營決策管理者：
1. 能夠將企業使命、企業目標轉化為可執行的網站數據分析工作目標
2. 對數據分析的結果，能夠有效判別，並採取合適的對策
3. 充分理解網站數據分析工具提供數據的範圍、功用與限制
4. 能夠根據企業現況與實際成效，提供建立數據分析平台必要的資源
如果您是網站行銷執行者：
1. 能夠有效分辨問題，並定義問題核心的數據需求
2. 能夠操作GA，並能透過對GA的理解，快速掌握其它分析工具的關鍵功能
3. 能夠有效統合相關的工具，提供解決問題所需的數據與建議對策",張秉祖,60,上架,2018/7/1,2019/7/1,無,初級,172,1287,209,126
資訊科技學院,一、數位生活應用系列,10001228,實「站」應用,"如果您是經營決策管理者：
1. 能夠將企業使命、企業目標轉化為可執行的網站數據分析工作目標
2. 對數據分析的結果，能夠有效判別，並採取合適的對策
3. 充分理解網站數據分析工具提供數據的範圍、功用與限制
4. 能夠根據企業現況與實際成效，提供建立數據分析平台必要的資源
如果您是網站行銷執行者：
1. 能夠有效分辨問題，並定義問題核心的數據需求
2. 能夠操作GA，並能透過對GA的理解，快速掌握其它分析工具的關鍵功能
3. 能夠有效統合相關的工具，提供解決問題所需的數據與建議對策",張秉祖,60,上架,2018/7/1,2019/7/1,無,初級,345,1836,361,183
資訊科技學院,一、數位生活應用系列,10001229,Google文件與雲端硬碟應,Google文件與雲端硬碟應,江靜枝,115,上架,2018/4/1,2030/12/31,無,初級,507,2001,525,245
資訊科技學院,一、數位生活應用系列,10001232,Youtube實用操作技巧及行銷管理,Youtube實用操作技巧及行銷管理,黃紘昱,39,上架,2018/4/1,2030/12/31,無,初級,552,2646,579,347
